"","days","d","significant","checkpoint","capability","predicted","model"
"98",138.4,2.43861181784938,TRUE,"epoch","Native discrimination",2.3800628038594,"CPC"
"99",155.7,2.35004783794177,TRUE,"epoch","Native discrimination",2.28041088545543,"CPC"
"100",166,2.35327303641746,TRUE,"epoch","Native discrimination",2.22108055253284,"CPC"
"101",0,0.768018793267982,TRUE,"epoch","Non-native discrimination",0.995151795861483,"CPC"
"102",1.73,0.705176321490031,TRUE,"batch","Non-native discrimination",1.00055083302605,"CPC"
"103",3.46,0.97889561395937,FALSE,"batch","Non-native discrimination",1.00594987019061,"CPC"
"104",5.19,1.04916597995506,TRUE,"batch","Non-native discrimination",1.01134890735517,"CPC"
"105",6.92,1.15293005069168,TRUE,"batch","Non-native discrimination",1.01674794451973,"CPC"
"106",8.65,0.894932150591914,TRUE,"batch","Non-native discrimination",1.02214698168429,"CPC"
"107",10.38,0.927514103810789,TRUE,"batch","Non-native discrimination",1.02754601884885,"CPC"
"108",12.11,0.930464366742195,TRUE,"batch","Non-native discrimination",1.03294505601342,"CPC"
"109",13.84,1.01285097415503,FALSE,"batch","Non-native discrimination",1.03834409317798,"CPC"
"110",15.57,1.14880990233782,FALSE,"batch","Non-native discrimination",1.04374313034254,"CPC"
"111",17.3,1.22440666516307,FALSE,"epoch","Non-native discrimination",1.0491421675071,"CPC"
"112",34.6,1.39646523761077,FALSE,"epoch","Non-native discrimination",1.10313253915272,"CPC"
"113",51.9,1.22083725667126,FALSE,"epoch","Non-native discrimination",1.15712291079834,"CPC"
"114",69.2,1.42177263518552,FALSE,"epoch","Non-native discrimination",1.21111328244396,"CPC"
"115",86.5,1.30790350478562,FALSE,"epoch","Non-native discrimination",1.26510365408958,"CPC"
"116",103.8,1.42913844533162,FALSE,"epoch","Non-native discrimination",1.3190940257352,"CPC"
"117",121.1,1.35299035536439,FALSE,"epoch","Non-native discrimination",1.37308439738082,"CPC"
"118",138.4,1.50612545187644,TRUE,"epoch","Non-native discrimination",1.42707476902644,"CPC"
"119",155.7,1.33659333658644,FALSE,"epoch","Non-native discrimination",1.48106514067206,"CPC"
"120",166,1.32862606945029,FALSE,"epoch","Non-native discrimination",1.51320969720095,"CPC"
